2020-01-20T14:18:44,2484,10110,Jan 20 2020 02:18:41:000PM,37.9837070,23.7348870
2020-01-20T14:18:44,2484,10150,Jan 20 2020 02:13:26:000PM,37.9853370,23.7313640
2020-01-20T14:18:45,3445,10014,Jan 20 2020 02:18:41:000PM,37.9796490,23.7343420
2020-01-20T14:18:45,3445,10012,Jan 20 2020 02:18:26:000PM,37.9925650,23.7315220
2020-01-20T14:18:45,3445,10011,Jan 20 2020 02:18:31:000PM,38.0012580,23.7408010
2020-01-20T14:18:45,3445,10008,Jan 20 2020 02:18:28:000PM,37.9799120,23.7333690
2020-01-20T14:18:46,2640,79177,Jan 20 2020 02:18:43:000PM,38.0138060,23.7203270
2020-01-20T14:18:47,1797,10194,Jan 20 2020 02:18:39:000PM,37.9800910,23.7354610
2020-01-20T14:18:48,1798,10121,Jan 20 2020 02:18:44:000PM,37.9893340,23.7090520
2020-01-20T14:18:49,1799,30254,Jan 20 2020 02:18:30:000PM,37.9755420,23.7338780
2020-01-20T14:18:50,1800,10144,Jan 20 2020 02:18:46:000PM,37.9848170,23.7405040
2020-01-20T14:18:51,1975,10143,Jan 20 2020 02:18:41:000PM,37.9795340,23.6945450
2020-01-20T14:18:55,2781,10166,Jan 20 2020 02:18:35:000PM,37.9762030,23.7472190
2020-01-20T14:18:57,2949,10395,Jan 20 2020 02:18:51:000PM,37.9992970,23.7387300
2020-01-20T14:18:57,2949,10371,Jan 20 2020 02:18:55:000PM,37.9798510,23.7186420
2020-01-20T14:18:57,2949,10198,Jan 20 2020 02:18:56:000PM,37.9957330,23.7398860
2020-01-20T14:18:58,2953,10389,Jan 20 2020 02:18:49:000PM,37.9829780,23.7276720
2020-01-20T14:18:58,2953,10409,Jan 20 2020 02:18:48:000PM,37.9993620,23.7421670
2020-01-20T14:18:59,3091,10957,Jan 20 2020 02:18:50:000PM,37.9986650,23.7634210
2020-01-20T14:18:59,3091,10648,Jan 20 2020 02:11:34:000PM,37.9934250,23.7767700
2020-01-20T14:18:59,3091,10659,Jan 20 2020 02:18:49:000PM,37.9997200,23.7776080
2020-01-20T14:18:59,3091,10681,Jan 20 2020 02:18:55:000PM,38.0045000,23.7443270
2020-01-20T14:18:59,3091,10707,Jan 20 2020 02:18:51:000PM,38.0013690,23.7751150
